A,EstadoA,B,EstadoB
IBERTIOGA,MG,SÃO JOÃO DEL REI,MG
IBIÁ,MG,MEDEIROS,MG
IBIÁ,MG,PERDIZES,MG
IBIÁ,MG,PRATINHA,MG
IBIÁ,MG,RIO PARANAÍBA,MG
IBIÁ,MG,SERRA DO SALITRE,MG
IBIÁ,MG,TAPIRA,MG
IBIAÍ,MG,LAGOA DOS PATOS,MG
IBIAÍ,MG,PONTO CHIQUE,MG
IBIRACATU,MG,ITACARAMBI,MG
IBIRACATU,MG,LONTRA,MG
IBIRACATU,MG,PEDRAS DE MARIA DA CRUZ,MG
IBIRACATU,MG,SÃO JOÃO DA PONTE,MG
IBIRACATU,MG,VARZELÂNDIA,MG
IBIRACI,MG,SACRAMENTO,MG
IBIRITÉ,MG,SARZEDO,MG
IBITIÚRA DE MINAS,MG,SANTA RITA DE CALDAS,MG
IBITURUNA,MG,IJACI,MG
IBITURUNA,MG,ITUMIRIM,MG
IBITURUNA,MG,ITUTINGA,MG
IBITURUNA,MG,NAZARENO,MG
ICARAÍ DE MINAS,MG,LUISLÂNDIA,MG
ICARAÍ DE MINAS,MG,PINTÓPOLIS,MG
ICARAÍ DE MINAS,MG,SÃO FRANCISCO,MG
ICARAÍ DE MINAS,MG,SÃO ROMÃO,MG
ICARAÍ DE MINAS,MG,UBAÍ,MG
IGARAPÉ,MG,ITATIAIUÇU,MG
IGARAPÉ,MG,JUATUBA,MG
IGARAPÉ,MG,MATEUS LEME,MG
IGARAPÉ,MG,SÃO JOAQUIM DE BICAS,MG
IGARATINGA,MG,ITAÚNA,MG
IGARATINGA,MG,PARÁ DE MINAS,MG
IGARATINGA,MG,SÃO GONÇALO DO PARÁ,MG
IGUATAMA,MG,LUZ,MG
IGUATAMA,MG,PAINS,MG
IJACI,MG,ITUMIRIM,MG
IJACI,MG,LAVRAS,MG
IJACI,MG,PERDÕES,MG
IMBÉ DE MINAS,MG,INHAPIM,MG
IMBÉ DE MINAS,MG,PIEDADE DE CARATINGA,MG
IMBÉ DE MINAS,MG,SÃO DOMINGOS DAS DORES,MG
IMBÉ DE MINAS,MG,SÃO SEBASTIÃO DO ANTA,MG
IMBÉ DE MINAS,MG,UBAPORANGA,MG
INCONFIDENTES,MG,OURO FINO,MG
INCONFIDENTES,MG,TOCOS DO MOJI,MG
INDAIABIRA,MG,RIO PARDO DE MINAS,MG
INDAIABIRA,MG,SÃO JOÃO DO PARAÍSO,MG
INDAIABIRA,MG,TAIOBEIRAS,MG
INDAIABIRA,MG,VARGEM GRANDE DO RIO PARDO,MG
INDIANÓPOLIS,MG,NOVA PONTE,MG
INDIANÓPOLIS,MG,UBERABA,MG
INDIANÓPOLIS,MG,UBERLÂNDIA,MG
INGAÍ,MG,ITUMIRIM,MG
INGAÍ,MG,ITUTINGA,MG
INGAÍ,MG,LAVRAS,MG
INGAÍ,MG,LUMINÁRIAS,MG
INHAPIM,MG,IPANEMA,MG
INHAPIM,MG,POCRANE,MG
INHAPIM,MG,SÃO DOMINGOS DAS DORES,MG
INHAPIM,MG,SÃO JOÃO DO ORIENTE,MG
INHAPIM,MG,SÃO SEBASTIÃO DO ANTA,MG
INHAPIM,MG,TARUMIRIM,MG
INHAPIM,MG,UBAPORANGA,MG
INHAÚMA,MG,PARAOPEBA,MG
INHAÚMA,MG,SETE LAGOAS,MG
INIMUTABA,MG,PRESIDENTE JUSCELINO,MG
IPABA,MG,SANTANA DO PARAÍSO,MG
IPANEMA,MG,POCRANE,MG
IPANEMA,MG,SANTANA DO MANHUAÇU,MG
IPANEMA,MG,SIMONÉSIA,MG
IPANEMA,MG,TAPARUBA,MG
IPATINGA,MG,MESQUITA,MG
IPATINGA,MG,SANTANA DO PARAÍSO,MG
IPATINGA,MG,TIMÓTEO,MG
IPIAÇU,MG,ITUIUTABA,MG
IPIAÇU,MG,SANTA VITÓRIA,MG
IPUIÚNA,MG,OURO FINO,MG
IPUIÚNA,MG,POÇO FUNDO,MG
IPUIÚNA,MG,SANTA RITA DE CALDAS,MG
IPUIÚNA,MG,SENADOR JOSÉ BENTO,MG
IRAÍ DE MINAS,MG,MONTE CARMELO,MG
IRAÍ DE MINAS,MG,NOVA PONTE,MG
IRAÍ DE MINAS,MG,PATROCÍNIO,MG
IRAÍ DE MINAS,MG,PEDRINÓPOLIS,MG
IRAÍ DE MINAS,MG,PERDIZES,MG
IRAÍ DE MINAS,MG,ROMARIA,MG
ITABIRA,MG,ITAMBÉ DO MATO DENTRO,MG
ITABIRA,MG,JABOTICATUBAS,MG
ITABIRA,MG,JOÃO MONLEVADE,MG
ITABIRA,MG,NOVA ERA,MG
ITABIRA,MG,NOVA UNIÃO,MG
ITABIRA,MG,SANTA MARIA DE ITABIRA,MG
ITABIRA,MG,SÃO GONÇALO DO RIO ABAIXO,MG
ITABIRINHA,MG,MANTENA,MG
ITABIRINHA,MG,MENDES PIMENTEL,MG
ITABIRINHA,MG,NOVA BELÉM,MG
ITABIRINHA,MG,SÃO JOSÉ DO DIVINO,MG
ITABIRITO,MG,MOEDA,MG
ITABIRITO,MG,NOVA LIMA,MG
ITABIRITO,MG,OURO PRETO,MG
ITABIRITO,MG,RIO ACIMA,MG
ITABIRITO,MG,SANTA BÁRBARA,MG
ITACAMBIRA,MG,JURAMENTO,MG
ITACARAMBI,MG,JAÍBA,MG
ITACARAMBI,MG,JANUÁRIA,MG
ITACARAMBI,MG,MANGA,MG
ITACARAMBI,MG,MATIAS CARDOSO,MG
ITACARAMBI,MG,MIRAVÂNIA,MG
ITACARAMBI,MG,PEDRAS DE MARIA DA CRUZ,MG
ITACARAMBI,MG,SÃO JOÃO DAS MISSÕES,MG
ITACARAMBI,MG,VARZELÂNDIA,MG
ITAGUARA,MG,ITATIAIUÇU,MG
ITAGUARA,MG,PIRACEMA,MG
ITAGUARA,MG,RIO MANSO,MG
ITAIPÉ,MG,LADAINHA,MG
ITAIPÉ,MG,NOVO CRUZEIRO,MG
ITAIPÉ,MG,TEÓFILO OTONI,MG
ITAJUBÁ,MG,MARIA DA FÉ,MG
ITAJUBÁ,MG,PIRANGUÇU,MG
ITAJUBÁ,MG,PIRANGUINHO,MG
ITAJUBÁ,MG,SÃO JOSÉ DO ALEGRE,MG
ITAJUBÁ,MG,WENCESLAU BRAZ,MG
ITAMARANDIBA,MG,RIO VERMELHO,MG
ITAMARANDIBA,MG,SÃO SEBASTIÃO DO MARANHÃO,MG
ITAMARANDIBA,MG,SENADOR MODESTINO GONÇALVES,MG
ITAMARANDIBA,MG,VEREDINHA,MG
ITAMARATI DE MINAS,MG,LEOPOLDINA,MG
ITAMBACURI,MG,JAMPRUCA,MG
ITAMBACURI,MG,MARILAC,MG
ITAMBACURI,MG,POTÉ,MG
ITAMBACURI,MG,SÃO JOSÉ DA SAFIRA,MG
ITAMBACURI,MG,TEÓFILO OTONI,MG
ITAMBÉ DO MATO DENTRO,MG,JABOTICATUBAS,MG
ITAMBÉ DO MATO DENTRO,MG,MORRO DO PILAR,MG
ITAMBÉ DO MATO DENTRO,MG,PASSABÉM,MG
ITAMBÉ DO MATO DENTRO,MG,SANTA MARIA DE ITABIRA,MG
ITAMBÉ DO MATO DENTRO,MG,SANTANA DO RIACHO,MG
ITAMBÉ DO MATO DENTRO,MG,SÃO SEBASTIÃO DO RIO PRETO,MG
ITAMOGI,MG,MONTE SANTO DE MINAS,MG
ITAMOGI,MG,SÃO SEBASTIÃO DO PARAÍSO,MG
ITAMONTE,MG,ITANHANDU,MG
ITAMONTE,MG,POUSO ALTO,MG
ITAMONTE,MG,RESENDE,RJ
ITANHANDU,MG,PASSA QUATRO,MG
ITANHANDU,MG,POUSO ALTO,MG
ITANHANDU,MG,SÃO SEBASTIÃO DO RIO VERDE,MG
ITANHANDU,MG,VIRGÍNIA,MG
ITANHOMI,MG,TARUMIRIM,MG
ITANHOMI,MG,TUMIRITINGA,MG
ITAOBIM,MG,ITINGA,MG
ITAOBIM,MG,JEQUITINHONHA,MG
ITAOBIM,MG,MEDINA,MG
ITAOBIM,MG,PONTO DOS VOLANTES,MG
ITAPAGIPE,MG,SÃO FRANCISCO DE SALES,MG
ITAPECERICA,MG,PEDRA DO INDAIÁ,MG
ITAPECERICA,MG,SÃO FRANCISCO DE PAULA,MG
ITAPECERICA,MG,SÃO SEBASTIÃO DO OESTE,MG
ITAPEVA,MG,MUNHOZ,MG
ITAPEVA,MG,SENADOR AMARAL,MG
ITAPEVA,MG,TOLEDO,MG
ITATIAIUÇU,MG,ITAÚNA,MG
ITATIAIUÇU,MG,MATEUS LEME,MG
ITATIAIUÇU,MG,RIO MANSO,MG
ITAÚ DE MINAS,MG,PASSOS,MG
ITAÚ DE MINAS,MG,PRATÁPOLIS,MG
ITAÚNA,MG,MATEUS LEME,MG
ITAÚNA,MG,PARÁ DE MINAS,MG
ITAVERAVA,MG,LAMIM,MG
ITAVERAVA,MG,OURO BRANCO,MG
ITAVERAVA,MG,OURO PRETO,MG
ITAVERAVA,MG,SANTANA DOS MONTES,MG
ITINGA,MG,MEDINA,MG
ITINGA,MG,PONTO DOS VOLANTES,MG
ITINGA,MG,RUBELITA,MG
ITUETA,MG,RESPLENDOR,MG
ITUETA,MG,SANTA RITA DO ITUETO,MG
ITUIUTABA,MG,MONTE ALEGRE DE MINAS,MG
ITUIUTABA,MG,PRATA,MG
ITUMIRIM,MG,ITUTINGA,MG
ITUMIRIM,MG,LAVRAS,MG
ITURAMA,MG,LIMEIRA DO OESTE,MG
ITURAMA,MG,SÃO FRANCISCO DE SALES,MG
ITURAMA,MG,UNIÃO DE MINAS,MG
ITUTINGA,MG,LUMINÁRIAS,MG
ITUTINGA,MG,NAZARENO,MG
JABOTICATUBAS,MG,LAGOA SANTA,MG
JABOTICATUBAS,MG,MATOZINHOS,MG
JABOTICATUBAS,MG,NOVA UNIÃO,MG
JABOTICATUBAS,MG,PEDRO LEOPOLDO,MG
JABOTICATUBAS,MG,SANTA LUZIA,MG
JABOTICATUBAS,MG,SANTANA DO RIACHO,MG
JABOTICATUBAS,MG,TAQUARAÇU DE MINAS,MG
JACINTO,MG,JORDÂNIA,MG
JACINTO,MG,RUBIM,MG
JACINTO,MG,SALTO DA DIVISA,MG
JACINTO,MG,SANTA MARIA DO SALTO,MG
JACINTO,MG,SANTO ANTÔNIO DO JACINTO,MG
JACUÍ,MG,MONTE SANTO DE MINAS,MG
JACUÍ,MG,PASSOS,MG
JACUÍ,MG,SÃO PEDRO DA UNIÃO,MG
JACUÍ,MG,SÃO SEBASTIÃO DO PARAÍSO,MG
JACUTINGA,MG,MONTE SIÃO,MG
JACUTINGA,MG,OURO FINO,MG
JAGUARAÇU,MG,MARLIÉRIA,MG
JAGUARAÇU,MG,SÃO DOMINGOS DO PRATA,MG
JAGUARAÇU,MG,TIMÓTEO,MG
JAÍBA,MG,JANAÚBA,MG
JAÍBA,MG,MATIAS CARDOSO,MG
JAÍBA,MG,PAI PEDRO,MG
JAÍBA,MG,PORTEIRINHA,MG
JAÍBA,MG,VARZELÂNDIA,MG
JAÍBA,MG,VERDELÂNDIA,MG
JAMPRUCA,MG,NOVA MÓDICA,MG
JAMPRUCA,MG,PESCADOR,MG
JANAÚBA,MG,NOVA PORTEIRINHA,MG
JANAÚBA,MG,PAI PEDRO,MG
JANAÚBA,MG,PORTEIRINHA,MG
JANAÚBA,MG,RIACHO DOS MACHADOS,MG
JANAÚBA,MG,SÃO JOÃO DA PONTE,MG
JANAÚBA,MG,VERDELÂNDIA,MG
JANUÁRIA,MG,PEDRAS DE MARIA DA CRUZ,MG
JANUÁRIA,MG,SÃO FRANCISCO,MG
JAPARAÍBA,MG,LAGOA DA PRATA,MG
JAPARAÍBA,MG,LUZ,MG
JAPARAÍBA,MG,SANTO ANTÔNIO DO MONTE,MG
JAPONVAR,MG,LONTRA,MG
JAPONVAR,MG,PATIS,MG
JAPONVAR,MG,PEDRAS DE MARIA DA CRUZ,MG
JAPONVAR,MG,SÃO FRANCISCO,MG
JAPONVAR,MG,SÃO JOÃO DA PONTE,MG
JECEABA,MG,PIEDADE DOS GERAIS,MG
JECEABA,MG,SÃO BRÁS DO SUAÇUÍ,MG
JENIPAPO DE MINAS,MG,NOVO CRUZEIRO,MG
JEQUERI,MG,ORATÓRIOS,MG
JEQUERI,MG,PEDRA DO ANTA,MG
JEQUERI,MG,SANTO ANTÔNIO DO GRAMA,MG
JEQUERI,MG,SERICITA,MG
JEQUERI,MG,URUCÂNIA,MG
JEQUITAÍ,MG,LAGOA DOS PATOS,MG
JEQUITAÍ,MG,SÃO JOÃO DA LAGOA,MG
JEQUITAÍ,MG,VÁRZEA DA PALMA,MG
JEQUITIBÁ,MG,SANTANA DE PIRAPAMA,MG
JEQUITIBÁ,MG,SETE LAGOAS,MG
JEQUITINHONHA,MG,JOAÍMA,MG
JEQUITINHONHA,MG,MEDINA,MG
JEQUITINHONHA,MG,MONTE FORMOSO,MG
JEQUITINHONHA,MG,PEDRA AZUL,MG
JEQUITINHONHA,MG,PONTO DOS VOLANTES,MG
JEQUITINHONHA,MG,RUBIM,MG
JESUÂNIA,MG,LAMBARI,MG
JESUÂNIA,MG,NATÉRCIA,MG
JESUÂNIA,MG,OLÍMPIO NORONHA,MG
JOAÍMA,MG,MONTE FORMOSO,MG
JOAÍMA,MG,NOVO ORIENTE DE MINAS,MG
JOAÍMA,MG,PONTO DOS VOLANTES,MG
JOANÉSIA,MG,MESQUITA,MG
JOÃO MONLEVADE,MG,RIO PIRACICABA,MG
JOÃO MONLEVADE,MG,SÃO GONÇALO DO RIO ABAIXO,MG
JOÃO PINHEIRO,MG,LAGOA GRANDE,MG
JOÃO PINHEIRO,MG,PARACATU,MG
JOÃO PINHEIRO,MG,PRESIDENTE OLEGÁRIO,MG
JOÃO PINHEIRO,MG,SÃO GONÇALO DO ABAETÉ,MG
JOÃO PINHEIRO,MG,UNAÍ,MG
JOAQUIM FELÍCIO,MG,LASSANCE,MG
JORDÂNIA,MG,SALTO DA DIVISA,MG
JOSÉ GONÇALVES DE MINAS,MG,LEME DO PRADO,MG
JOSÉ RAYDAN,MG,PEÇANHA,MG
JOSÉ RAYDAN,MG,SANTA MARIA DO SUAÇUÍ,MG
JOSÉ RAYDAN,MG,SÃO JOSÉ DO JACURI,MG
JOSÉ RAYDAN,MG,SÃO PEDRO DO SUAÇUÍ,MG
JOSÉ RAYDAN,MG,SÃO SEBASTIÃO DO MARANHÃO,MG
JOSENÓPOLIS,MG,PADRE CARVALHO,MG
JOSENÓPOLIS,MG,RUBELITA,MG
JOSENÓPOLIS,MG,VIRGEM DA LAPA,MG
JUATUBA,MG,MATEUS LEME,MG
JUATUBA,MG,SÃO JOAQUIM DE BICAS,MG
JUIZ DE FORA,MG,LIMA DUARTE,MG
JUIZ DE FORA,MG,MATIAS BARBOSA,MG
JUIZ DE FORA,MG,PEDRO TEIXEIRA,MG
JUIZ DE FORA,MG,PEQUERI,MG
JUIZ DE FORA,MG,PIAU,MG
JUIZ DE FORA,MG,SANTA BÁRBARA DO MONTE VERDE,MG
JUIZ DE FORA,MG,SANTANA DO DESERTO,MG
JUIZ DE FORA,MG,SANTOS DUMONT,MG
JURAMENTO,MG,MONTES CLAROS,MG
JURUAIA,MG,MONTE BELO,MG
JURUAIA,MG,MUZAMBINHO,MG
JURUAIA,MG,NOVA RESENDE,MG
JURUAIA,MG,SÃO PEDRO DA UNIÃO,MG
JUVENÍLIA,MG,MANGA,MG
JUVENÍLIA,MG,MONTALVÂNIA,MG
LADAINHA,MG,MALACACHETA,MG
LADAINHA,MG,NOVO CRUZEIRO,MG
LADAINHA,MG,POTÉ,MG
LADAINHA,MG,SETUBINHA,MG
LADAINHA,MG,TEÓFILO OTONI,MG
LAGAMAR,MG,LAGOA GRANDE,MG
LAGAMAR,MG,PATOS DE MINAS,MG
LAGAMAR,MG,PRESIDENTE OLEGÁRIO,MG
LAGAMAR,MG,VAZANTE,MG
LAGOA DA PRATA,MG,LUZ,MG
LAGOA DA PRATA,MG,MOEMA,MG
LAGOA DA PRATA,MG,SANTO ANTÔNIO DO MONTE,MG
LAGOA DOS PATOS,MG,SÃO JOÃO DA LAGOA,MG
LAGOA DOS PATOS,MG,VÁRZEA DA PALMA,MG
LAGOA DOURADA,MG,PRADOS,MG
LAGOA DOURADA,MG,RESENDE COSTA,MG
LAGOA FORMOSA,MG,PATOS DE MINAS,MG
LAGOA GRANDE,MG,PARACATU,MG
LAGOA GRANDE,MG,PRESIDENTE OLEGÁRIO,MG
LAGOA GRANDE,MG,VAZANTE,MG
LAGOA SANTA,MG,PEDRO LEOPOLDO,MG
LAGOA SANTA,MG,SANTA LUZIA,MG
LAGOA SANTA,MG,VESPASIANO,MG
LAJINHA,MG,MUTUM,MG
LAMBARI,MG,NATÉRCIA,MG
LAMBARI,MG,SÃO GONÇALO DO SAPUCAÍ,MG
LAMIM,MG,PIRANGA,MG
LAMIM,MG,RIO ESPERA,MG
LAMIM,MG,SANTANA DOS MONTES,MG
LAMIM,MG,SENHORA DE OLIVEIRA,MG
LARANJAL,MG,LEOPOLDINA,MG
LARANJAL,MG,MURIAÉ,MG
LARANJAL,MG,PALMA,MG
LARANJAL,MG,RECREIO,MG
LARANJAL,MG,SANTANA DE CATAGUASES,MG
LASSANCE,MG,TRÊS MARIAS,MG
LASSANCE,MG,VÁRZEA DA PALMA,MG
LAVRAS,MG,NEPOMUCENO,MG
LAVRAS,MG,PERDÕES,MG
LAVRAS,MG,RIBEIRÃO VERMELHO,MG
LEANDRO FERREIRA,MG,MARTINHO CAMPOS,MG
LEANDRO FERREIRA,MG,NOVA SERRANA,MG
LEANDRO FERREIRA,MG,PITANGUI,MG
LEME DO PRADO,MG,MINAS NOVAS,MG
LEME DO PRADO,MG,TURMALINA,MG
LEOPOLDINA,MG,PIRAPETINGA,MG
LEOPOLDINA,MG,RECREIO,MG
LEOPOLDINA,MG,SANTO ANTÔNIO DO AVENTUREIRO,MG
LEOPOLDINA,MG,SÃO JOÃO NEPOMUCENO,MG
LEOPOLDINA,MG,VOLTA GRANDE,MG
LIBERDADE,MG,PASSA-VINTE,MG
LIBERDADE,MG,SERITINGA,MG
LIMA DUARTE,MG,OLARIA,MG
LIMA DUARTE,MG,PEDRO TEIXEIRA,MG
LIMA DUARTE,MG,RIO PRETO,MG
LIMA DUARTE,MG,SANTA BÁRBARA DO MONTE VERDE,MG
LIMA DUARTE,MG,SANTA RITA DE IBITIPOCA,MG
LIMA DUARTE,MG,SANTANA DO GARAMBÉU,MG
LIMEIRA DO OESTE,MG,SANTA VITÓRIA,MG
LIMEIRA DO OESTE,MG,UNIÃO DE MINAS,MG
LONTRA,MG,PEDRAS DE MARIA DA CRUZ,MG
LONTRA,MG,SÃO JOÃO DA PONTE,MG
LUISBURGO,MG,MANHUAÇU,MG
LUISBURGO,MG,MANHUMIRIM,MG
LUISBURGO,MG,SÃO JOÃO DO MANHUAÇU,MG
LUISLÂNDIA,MG,SÃO FRANCISCO,MG
LUISLÂNDIA,MG,UBAÍ,MG
LUMINÁRIAS,MG,SÃO BENTO ABADE,MG
LUMINÁRIAS,MG,SÃO THOMÉ DAS LETRAS,MG
LUMINÁRIAS,MG,TRÊS CORAÇÕES,MG
LUZ,MG,MOEMA,MG
MACHACALIS,MG,SANTA HELENA DE MINAS,MG
MACHACALIS,MG,UMBURATIBA,MG
MACHADO,MG,PARAGUAÇU,MG
MACHADO,MG,POÇO FUNDO,MG
MACHADO,MG,SERRANIA,MG
MACHADO,MG,TURVOLÂNDIA,MG
MADRE DE DEUS DE MINAS,MG,PIEDADE DO RIO GRANDE,MG
MADRE DE DEUS DE MINAS,MG,SÃO JOÃO DEL REI,MG
MADRE DE DEUS DE MINAS,MG,SÃO VICENTE DE MINAS,MG
MALACACHETA,MG,POTÉ,MG
MALACACHETA,MG,SETUBINHA,MG
MAMONAS,MG,MONTE AZUL,MG
MANGA,MG,MATIAS CARDOSO,MG
MANGA,MG,MIRAVÂNIA,MG
MANGA,MG,MONTALVÂNIA,MG
MANGA,MG,SÃO JOÃO DAS MISSÕES,MG
MANHUAÇU,MG,MANHUMIRIM,MG
MANHUAÇU,MG,MATIPÓ,MG
MANHUAÇU,MG,RAUL SOARES,MG
MANHUAÇU,MG,REDUTO,MG
MANHUAÇU,MG,SANTA BÁRBARA DO LESTE,MG
MANHUAÇU,MG,SANTANA DO MANHUAÇU,MG
MANHUAÇU,MG,SÃO JOÃO DO MANHUAÇU,MG
MANHUAÇU,MG,SIMONÉSIA,MG
MANHUAÇU,MG,VERMELHO NOVO,MG
MANHUMIRIM,MG,MARTINS SOARES,MG
MANHUMIRIM,MG,REDUTO,MG
MANTENA,MG,MENDES PIMENTEL,MG
MANTENA,MG,NOVA BELÉM,MG
MANTENA,MG,SÃO JOÃO DO MANTENINHA,MG
MAR DE ESPANHA,MG,MARIPÁ DE MINAS,MG
MAR DE ESPANHA,MG,PEQUERI,MG
MAR DE ESPANHA,MG,SANTANA DO DESERTO,MG
MAR DE ESPANHA,MG,SANTO ANTÔNIO DO AVENTUREIRO,MG
MAR DE ESPANHA,MG,SENADOR CORTES,MG
MARAVILHAS,MG,ONÇA DE PITANGUI,MG
MARAVILHAS,MG,PAPAGAIOS,MG
MARAVILHAS,MG,PEQUI,MG
MARAVILHAS,MG,PITANGUI,MG
MARIA DA FÉ,MG,PEDRALVA,MG
MARIA DA FÉ,MG,SÃO JOSÉ DO ALEGRE,MG
MARIA DA FÉ,MG,VIRGÍNIA,MG
MARIANA,MG,OURO PRETO,MG
MARIANA,MG,PIRANGA,MG
MARIANA,MG,SANTA BÁRBARA,MG
MARILAC,MG,MATHIAS LOBATO,MG
MARILAC,MG,NACIP RAYDAN,MG
MARILAC,MG,SÃO JOSÉ DA SAFIRA,MG
MÁRIO CAMPOS,MG,SÃO JOAQUIM DE BICAS,MG
MÁRIO CAMPOS,MG,SARZEDO,MG
MARIPÁ DE MINAS,MG,ROCHEDO DE MINAS,MG
MARIPÁ DE MINAS,MG,SÃO JOÃO NEPOMUCENO,MG
MARIPÁ DE MINAS,MG,SENADOR CORTES,MG
MARLIÉRIA,MG,PINGO-D'ÁGUA,MG
MARLIÉRIA,MG,SÃO DOMINGOS DO PRATA,MG
MARLIÉRIA,MG,TIMÓTEO,MG
MARMELÓPOLIS,MG,PASSA QUATRO,MG
MARMELÓPOLIS,MG,VIRGÍNIA,MG
MARTINHO CAMPOS,MG,PITANGUI,MG
MARTINHO CAMPOS,MG,POMPÉU,MG
MARTINHO CAMPOS,MG,QUARTEL GERAL,MG
MARTINS SOARES,MG,REDUTO,MG
MATERLÂNDIA,MG,PAULISTAS,MG
MATERLÂNDIA,MG,RIO VERMELHO,MG
MATERLÂNDIA,MG,SABINÓPOLIS,MG
MATERLÂNDIA,MG,SANTO ANTÔNIO DO ITAMBÉ,MG
MATERLÂNDIA,MG,SERRA AZUL DE MINAS,MG
MATEUS LEME,MG,PARÁ DE MINAS,MG
MATIAS BARBOSA,MG,SANTANA DO DESERTO,MG
MATIAS BARBOSA,MG,SIMÃO PEREIRA,MG
MATIPÓ,MG,PEDRA BONITA,MG
MATIPÓ,MG,SANTA MARGARIDA,MG
MATIPÓ,MG,SÃO JOÃO DO MANHUAÇU,MG
MATO VERDE,MG,MONTE AZUL,MG
MATO VERDE,MG,PAI PEDRO,MG
MATO VERDE,MG,PORTEIRINHA,MG
MATO VERDE,MG,RIO PARDO DE MINAS,MG
MATOZINHOS,MG,PEDRO LEOPOLDO,MG
MATOZINHOS,MG,PRUDENTE DE MORAIS,MG
MATUTINA,MG,RIO PARANAÍBA,MG
MATUTINA,MG,SÃO GOTARDO,MG
MATUTINA,MG,TIROS,MG
MEDEIROS,MG,PRATINHA,MG
MEDEIROS,MG,SÃO ROQUE DE MINAS,MG
MEDEIROS,MG,TAPIRA,MG
MEDEIROS,MG,TAPIRAÍ,MG
MEDINA,MG,PEDRA AZUL,MG
MEDINA,MG,SANTA CRUZ DE SALINAS,MG
MENDES PIMENTEL,MG,SÃO FÉLIX DE MINAS,MG
MENDES PIMENTEL,MG,SÃO JOSÉ DO DIVINO,MG
MERCÊS,MG,PAIVA,MG
MERCÊS,MG,RIO POMBA,MG
MERCÊS,MG,SANTA BÁRBARA DO TUGÚRIO,MG
MERCÊS,MG,SILVEIRÂNIA,MG
MERCÊS,MG,TABULEIRO,MG
MESQUITA,MG,SANTANA DO PARAÍSO,MG
MINAS NOVAS,MG,NOVO CRUZEIRO,MG
MINAS NOVAS,MG,SETUBINHA,MG
MINAS NOVAS,MG,TURMALINA,MG
MINDURI,MG,SÃO VICENTE DE MINAS,MG
MINDURI,MG,SERRANOS,MG
MIRABELA,MG,MONTES CLAROS,MG
MIRABELA,MG,PATIS,MG
MIRADOURO,MG,MURIAÉ,MG
MIRADOURO,MG,SÃO FRANCISCO DO GLÓRIA,MG
MIRADOURO,MG,VIEIRAS,MG
MIRAÍ,MG,MURIAÉ,MG
MIRAÍ,MG,ROSÁRIO DA LIMEIRA,MG
MIRAÍ,MG,SANTANA DE CATAGUASES,MG
MIRAÍ,MG,SÃO SEBASTIÃO DA VARGEM ALEGRE,MG
MIRAVÂNIA,MG,MONTALVÂNIA,MG
MIRAVÂNIA,MG,SÃO JOÃO DAS MISSÕES,MG
MOEDA,MG,OURO PRETO,MG
MOEMA,MG,SANTO ANTÔNIO DO MONTE,MG
MONJOLOS,MG,PRESIDENTE JUSCELINO,MG
MONJOLOS,MG,SANTO HIPÓLITO,MG
MONSENHOR PAULO,MG,SÃO GONÇALO DO SAPUCAÍ,MG
MONSENHOR PAULO,MG,TRÊS CORAÇÕES,MG
MONSENHOR PAULO,MG,VARGINHA,MG
MONTE ALEGRE DE MINAS,MG,PRATA,MG
MONTE ALEGRE DE MINAS,MG,TUPACIGUARA,MG
MONTE ALEGRE DE MINAS,MG,UBERLÂNDIA,MG
MONTE AZUL,MG,PAI PEDRO,MG
MONTE AZUL,MG,RIO PARDO DE MINAS,MG
MONTE AZUL,MG,SANTO ANTÔNIO DO RETIRO,MG
MONTE BELO,MG,MUZAMBINHO,MG
MONTE BELO,MG,NOVA RESENDE,MG
MONTE CARMELO,MG,PATROCÍNIO,MG
MONTE CARMELO,MG,ROMARIA,MG
MONTE FORMOSO,MG,PONTO DOS VOLANTES,MG
MONTE SANTO DE MINAS,MG,SÃO SEBASTIÃO DO PARAÍSO,MG
MONTE SIÃO,MG,OURO FINO,MG
MONTES CLAROS,MG,PATIS,MG
MONTES CLAROS,MG,SÃO JOÃO DA LAGOA,MG
MONTES CLAROS,MG,SÃO JOÃO DA PONTE,MG
MONTEZUMA,MG,RIO PARDO DE MINAS,MG
MONTEZUMA,MG,SANTO ANTÔNIO DO RETIRO,MG
MONTEZUMA,MG,SÃO JOÃO DO PARAÍSO,MG
MONTEZUMA,MG,VARGEM GRANDE DO RIO PARDO,MG
MORADA NOVA DE MINAS,MG,PAINEIRAS,MG
MORADA NOVA DE MINAS,MG,POMPÉU,MG
MORADA NOVA DE MINAS,MG,SÃO GONÇALO DO ABAETÉ,MG
MORADA NOVA DE MINAS,MG,TIROS,MG
MORADA NOVA DE MINAS,MG,TRÊS MARIAS,MG
MORRO DO PILAR,MG,SANTANA DO RIACHO,MG
MORRO DO PILAR,MG,SANTO ANTÔNIO DO RIO ABAIXO,MG
MORRO DO PILAR,MG,SÃO SEBASTIÃO DO RIO PRETO,MG
MUNHOZ,MG,SENADOR AMARAL,MG
MUNHOZ,MG,TOLEDO,MG
MURIAÉ,MG,PALMA,MG
MURIAÉ,MG,PATROCÍNIO DO MURIAÉ,MG
MURIAÉ,MG,ROSÁRIO DA LIMEIRA,MG
MURIAÉ,MG,SANTANA DE CATAGUASES,MG
